SIRET,SIREN,DEPARTEMENT,NOM_COMMUNE,INSEE,CODE_COMMUNE,POP_2022,FRAIS_REPRESENTATION,EUR_PAR_HAB,COUL_POL,LATITUDE,LONGITUDE,TOTAL_CHARGES,CHARGES_PERSONNEL,ACHATS_SERVICES,CHARGES_FINANCIERES,CHARGES_EXCEPT,AUTRES_CHARGES_GESTION,RATIO_FRAIS_REP
20006014300019,200060143,01,GROSLEE SAINT BENOIT,338,01338,1232,210.72,0.17,Non classé,45.6891842277,5.5843972561,905813.14,384465.61,344283.42,15039.67,2280.0,139291.3,0.0233
21010045900010,210100459,01,BIRIEUX,45,01045,280,55.71,0.2,Non classé,45.9533995502,5.03666479984,197766.21,47398.84,78702.5,3491.24,0.0,49270.29,0.0282
21010160600015,210101606,01,FERNEY-VOLTAIRE,160,01160,11530,4682.08,0.41,Droite,46.2519789243,6.10826403805,17331343.61,9549779.42,4348372.62,189594.83,572832.01,1364709.3,0.027
21010173900014,210101739,01,GEX,173,01173,13455,0.0,0.0,Droite,46.3471891747,6.04650555568,18216191.47,8556300.66,5736042.38,211815.86,31679.67,1399519.14,0.0
21010202600015,210102026,01,LAGNIEU,202,01202,7321,844.9,0.12,Droite,45.8917015798,5.32917518895,7416068.7,2064730.13,3111996.07,331538.34,363288.74,994623.65,0.0114
21010308100019,210103081,01,POUGNY,308,01308,792,380.0,0.48,Non classé,46.1450914685,5.95100479291,731520.73,295302.14,197927.58,15410.11,10105.24,191528.92,0.0519
21010397400015,210103974,01,SAUVERNY,397,01397,1003,2325.4,2.32,Non classé,46.3126908233,6.11043836433,924739.28,396011.1,374588.69,9017.48,0.0,119326.33,0.2515
21010435200013,210104352,01,VERSONNEX,435,01435,2222,2200.0,0.99,Non classé,46.2997631425,6.10057952207,2517478.63,1362278.76,774304.81,30651.9,0.0,214103.88,0.0874
21020194300011,210201943,02,CONDE-EN-BRIE,209,02209,658,95.0,0.14,Non classé,49.0016101753,3.56116999962,1098405.16,155382.23,722807.92,813.82,0.52,190298.45,0.0086
21020285900018,210202859,02,FAYET,303,02303,711,1200.0,1.69,Non classé,49.8710844824,3.25278845948,627725.45,251043.4,290080.49,2764.91,0.0,76292.8,0.1912
21020321200092,210203212,02,GAUCHY,340,02340,5197,3000.0,0.58,Droite,49.8234688599,3.28649189661,8572517.06,4165882.42,2906380.43,141610.09,0.0,594814.02,0.035
21020387300018,210203873,02,LAON,408,02408,24066,7622.0,0.32,Droite,49.5679724897,3.62089561902,36610875.01,19481503.48,11244653.18,157203.78,304287.61,3247653.16,0.0208
21020392300011,210203923,02,LAVAL-EN-LAONNOIS,413,02413,248,54.0,0.22,Non classé,49.5029905064,3.58758242212,125757.83,38728.16,36727.76,615.02,5602.0,38448.25,0.0429
21020408700014,210204087,02,LIERVAL,429,02429,120,54.0,0.45,Non classé,49.4874867517,3.62227691789,83766.51,24269.42,22523.09,0.0,0.0,36146.9,0.0645
21020479800016,210204798,02,MONTCORNET,502,02502,1224,89.0,0.07,Non classé,49.6890129328,4.02915061151,1072718.43,391429.06,352866.88,3506.25,0.0,263684.92,0.0083
21020778300015,210207783,02,VILLENEUVE-SAINT-GERMAIN,805,02805,2585,189.0,0.07,Non classé,49.3789013616,3.36175815803,2813529.18,1327982.74,1052935.81,8229.18,1527.27,281243.83,0.0067
21030006700019,210300067,03,ARFEUILLES,6,03006,610,27.3,0.04,,46.1431515084,3.74329110559,681572.76,335555.74,248601.0,17361.02,0.0,50316.61,0.004
21030044800011,210300448,03,BRUGHEAS,44,03044,1556,50.0,0.03,,46.0728347147,3.3660599245,879941.82,414555.78,287675.31,45259.8,400.0,109775.66,0.0057
21030082800014,210300828,03,COMMENTRY,82,03082,6018,190.0,0.03,Gauche,46.2787466852,2.74916734673,13019419.15,7003815.96,3437579.66,240306.81,85720.7,1652167.41,0.0015
21030091900011,210300919,03,CRECHY,91,03091,430,50.0,0.12,Non classé,46.2696885601,3.42387984399,461948.82,244562.14,135660.06,1459.33,16999.48,36642.01,0.0108
21030138800018,210301388,03,LAPALISSE,138,03138,3127,1363.25,0.44,Non classé,46.264846808,3.63838425184,1737061.17,344288.22,663199.18,21525.63,196.15,372333.61,0.0785
